epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.339,1.79433,2.69061,1.67654,0.46357,0.38208,0.35668,0.15135,1.73349,2.93579,1.585,0.000555351,0.000555351,0.000555351
2,571.369,1.85009,2.18072,1.72401,0.44572,0.37888,0.34706,0.1454,1.70731,2.41005,1.569,0.00108352,0.00108352,0.00108352
3,842.308,1.82227,2.08217,1.69916,0.48413,0.42184,0.39493,0.16812,1.70597,3.61473,1.60795,0.00158418,0.00158418,0.00158418
4,1112.42,1.7642,1.98121,1.65268,0.55753,0.48724,0.50987,0.24031,1.5653,2.29211,1.47043,0.00154323,0.00154323,0.00154323
5,1381.2,1.7303,1.92343,1.63088,0.52438,0.47839,0.48036,0.23294,1.51821,3.09306,1.42005,0.00150197,0.00150197,0.00150197
6,1651.17,1.67635,1.83722,1.59762,0.57873,0.51284,0.54059,0.26738,1.48465,2.02641,1.41383,0.00146071,0.00146071,0.00146071
7,1922.02,1.6575,1.77867,1.57245,0.57561,0.52517,0.55521,0.27274,1.48747,2.39253,1.38366,0.00141945,0.00141945,0.00141945
8,2194.58,1.63554,1.70741,1.55556,0.58733,0.54875,0.56484,0.28182,1.50594,1.92174,1.39485,0.00137819,0.00137819,0.00137819
9,2465.32,1.62092,1.67293,1.549,0.58143,0.56004,0.57924,0.30145,1.42424,1.98753,1.36056,0.00133693,0.00133693,0.00133693
10,2734.86,1.60834,1.6554,1.54426,0.6213,0.55718,0.59604,0.30596,1.41672,2.02021,1.33891,0.00129568,0.00129568,0.00129568
11,3003.56,1.58926,1.62165,1.52202,0.63114,0.55597,0.60465,0.31576,1.41565,1.916,1.34487,0.00125442,0.00125442,0.00125442
12,3272.6,1.57195,1.58171,1.50481,0.63701,0.56839,0.61644,0.32248,1.40209,1.54017,1.33394,0.00121316,0.00121316,0.00121316
13,3542.16,1.55395,1.54578,1.49956,0.64125,0.58834,0.63148,0.33731,1.37172,1.62662,1.30551,0.0011719,0.0011719,0.0011719
14,3811.08,1.55042,1.52363,1.49743,0.67738,0.58573,0.65144,0.34855,1.36185,1.45678,1.296,0.00113064,0.00113064,0.00113064
15,4079.41,1.54268,1.52172,1.48709,0.66618,0.5748,0.63884,0.3432,1.3538,1.63673,1.28388,0.00108938,0.00108938,0.00108938
16,4349.67,1.53401,1.49391,1.47616,0.67098,0.59767,0.65745,0.35725,1.34236,1.59678,1.28642,0.00104813,0.00104813,0.00104813
17,4620.11,1.51944,1.45053,1.46765,0.69207,0.6008,0.66601,0.36556,1.3227,1.50244,1.26622,0.00100687,0.00100687,0.00100687
18,4890.68,1.51083,1.4248,1.46023,0.67899,0.62332,0.67795,0.36749,1.32466,1.46514,1.25812,0.00096561,0.00096561,0.00096561
