epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12286.6,1.41034,1.23432,1.39346,0.73024,0.66518,0.73757,0.43117,1.24035,1.16025,1.21154,0.005842,0.005842,0.005842
44,12566.9,1.41521,1.23349,1.38884,0.72303,0.67288,0.73871,0.43134,1.24216,1.16755,1.21328,0.005743,0.005743,0.005743
45,12848.8,1.40859,1.23083,1.38638,0.72867,0.67016,0.74147,0.4348,1.23881,1.15452,1.20984,0.005644,0.005644,0.005644
46,13130.1,1.40126,1.21237,1.385,0.73636,0.66692,0.74305,0.43591,1.23169,1.11589,1.20515,0.005545,0.005545,0.005545
47,13411,1.39984,1.21151,1.38201,0.74941,0.662,0.74507,0.43686,1.23077,1.09748,1.20212,0.005446,0.005446,0.005446
48,13692.8,1.40406,1.20459,1.37542,0.74628,0.65897,0.74584,0.43645,1.23582,1.10168,1.2044,0.005347,0.005347,0.005347
49,13974.7,1.40499,1.21727,1.37595,0.7407,0.66711,0.74491,0.43754,1.23505,1.09829,1.20197,0.005248,0.005248,0.005248
50,14255.3,1.40422,1.21361,1.38219,0.74609,0.66221,0.74508,0.43728,1.23541,1.09189,1.20144,0.005149,0.005149,0.005149
51,14536.4,1.39172,1.17617,1.37663,0.75352,0.6654,0.74812,0.43897,1.23168,1.0916,1.20007,0.00505,0.00505,0.00505
52,14817,1.38379,1.1841,1.37369,0.74274,0.67078,0.74938,0.44149,1.22605,1.08759,1.19744,0.004951,0.004951,0.004951
53,15096.9,1.39287,1.1861,1.37472,0.74738,0.67059,0.75056,0.44342,1.22411,1.09779,1.1971,0.004852,0.004852,0.004852
54,15377,1.37432,1.16646,1.36081,0.74542,0.66643,0.75292,0.44462,1.22116,1.09663,1.1951,0.004753,0.004753,0.004753
55,15658.4,1.37084,1.15323,1.35538,0.74204,0.67112,0.75337,0.4454,1.22318,1.0965,1.19617,0.004654,0.004654,0.004654
56,15939.5,1.37234,1.15119,1.35896,0.74772,0.67602,0.75457,0.4449,1.21998,1.09327,1.19463,0.004555,0.004555,0.004555
